"","file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id"
"198","M_F2_27x113_3",79.9971134020618,9.17799518081642,3181.74680412371,1300.23763893018,238.808041237113,63.3223103411029,93.2405195876289,24.2139748019035,41.8645855670103,9.09256753894114,2.24590721649485,0.455753773125591,-0.09,0.67,15,97,8078.37,7416,494.39,25982.02,1732.13,1253.81,55.42,207.24,476.34,2821.07,240.7,"M_F2_27x113_3-96"
"199","M_F2_27x113_4",85.5237592592592,14.2286182001425,3389.04,1146.59195742422,239.1538,52.0085387995069,90.5775,19.8475726121927,46.7488,8.23899004118172,1.96827777777778,0.471577207152017,-0.02,0.25,12.6666666666667,108,8599.93,6944,548.18,13564.17,1070.86,613.37,3.41,79.34,419.24,2760.16,30.71,"M_F2_27x113_4-100"
"200","M_F2_27x113_4",77.9872266666667,10.9463750047778,5480.5248,1247.65953236922,312.272784,44.5855135707232,122.186448,18.3485918308453,56.389392,8.55179203988548,2.19989333333333,0.372924112754692,-0.04,0.44,9.11111111111111,75,8543.06,8543,937.65,13353.31,1465.61,1112.03,14.86,122.95,510.5,2083.42,133.74,"M_F2_27x113_4-104"
"201","M_F2_27x113_4",77.4097640449438,14.8937827076072,3433.67191011236,1124.82924752127,241.78275505618,51.8579212000859,94.599384269663,21.7264072203772,45.3950696629214,6.80521981550667,2.09139325842697,0.419528458726351,-0.02,0.48,10.3333333333333,89,8568.43,4707,455.49,15014.38,1453,541.97,7.84,64.28,461.03,1978.61,70.56,"M_F2_27x113_4-11"
"202","M_F2_27x113_4",71.8480243902439,15.8799690191379,3163.5043902439,1275.14680722672,230.119551219512,52.4007975347239,88.3358341463415,20.1670905074483,44.164887804878,10.1316949022459,2.03937804878049,0.423486138658223,-0.01,0.5,9.88888888888889,82,8851.89,8795,889.36,12705.96,1284.87,763.73,5.68,84.11,369.83,1951,17.03,"M_F2_27x113_4-118"
"203","M_F2_27x113_4",62.6483544303797,9.2299011593424,3992.33620253165,981.929367129606,271.797174683544,46.9120754756075,108.661260759494,19.8576538896823,46.5749316455696,8.23679120213542,2.38748101265823,0.54728518466409,-0.03,0.5,9.11111111111111,79,7646.89,6981,766.22,12124.77,1330.77,1082.31,2.84,126.33,627.7,2435.19,25.54,"M_F2_27x113_4-127"
"204","M_F2_27x113_4",93.6965652173913,13.9022962793057,5091.58956521739,1833.77725033398,295.520556521739,61.3332155912935,114.791791304348,21.7046449226193,54.8172,12.4596853847543,2.14297101449275,0.376554385221893,0.02,0.55,9.11111111111111,69,4964.95,4128,453.08,10035.15,1101.42,689.78,15.25,107.02,346.87,2069.33,45.74,"M_F2_27x113_4-128"
"205","M_F2_27x113_4",88.7934035087719,18.1709356743317,4411.85684210526,2347.45092546846,266.508378947368,93.7689153197193,102.835705263158,34.6656629926936,49.9299157894737,15.8150265707264,2.07417543859649,0.360518779122878,0,0.59,8.22222222222222,57,2142.04,1850,225.06,9788.46,1190.49,2189.03,20.29,280.16,521.11,2814.47,91.31,"M_F2_27x113_4-130"
"206","M_F2_27x113_4",65.5894626865672,17.4208391009058,3290.29253731343,1259.61664768022,232.282531343284,58.6893695330021,89.5086268656716,25.0090894042581,45.8439044776119,12.0086599721912,2.0610447761194,0.706537876332185,-0.04,0.55,8,67,2711.62,2510,313.71,3548.85,443.61,303.77,4.64,45.43,305.34,1492.88,41.78,"M_F2_27x113_4-132"
"207","M_F2_27x113_4",67.9370625,14.3855304820966,4111.56,6292.32968455229,277.688925,262.289682591225,102.965625,68.7554672990385,41.47335,16.7726019873851,2.419375,0.663840778942688,-0.06,0.88,7.33333333333333,48,2213.35,1136,154.96,9664.88,1317.94,969.48,2.62,188.4,611.73,2181.32,23.61,"M_F2_27x113_4-15"
"208","M_F2_27x113_4",80.2207876106195,11.0100921037501,3270.04884955752,1447.45839276727,229.784049557522,67.617584411287,89.3001345132743,24.6399541015117,44.4287150442478,11.2761690478449,2.04107079646018,0.442179357533597,0.05,0.62,16,113,7854.76,2713,169.57,23466.4,1466.65,2014.35,2.77,241.1,522.29,2906.51,24.91,"M_F2_27x113_4-21"
"209","M_F2_27x113_4",78.8680258064516,18.3490147274142,4483.49109677419,2372.64313295842,276.958126451613,103.027308574713,110.323393548387,41.9934372586549,47.9439870967742,13.7101040598072,2.29618709677419,0.651830298079771,-0.03,0.76,26.5555555555556,155,8747.45,8366,315.05,30684.11,1155.47,1000.67,8.64,141.58,454.33,2828.31,60.83,"M_F2_27x113_4-3"
"210","M_F2_27x113_4",68.3796571428571,6.98857562063575,2932.66285714286,1046.31121046685,217.357328571429,45.6799246356336,83.1317657142857,18.2919405551478,44.0671628571429,8.60907915367805,1.92789285714286,0.47241276757746,0,0.38,16.2222222222222,140,9009.99,8254,508.79,19853.47,1223.84,889.93,16.2,80.16,425.1,2905.84,76.83,"M_F2_27x113_4-35"
"211","M_F2_27x113_4",61.4122981366459,7.50300764930698,4003.43254658385,5497.37700280999,272.572881987578,228.069277719934,103.767339130435,70.7076427289336,41.4964173913043,14.5598877542616,2.4235900621118,0.912072053568478,0.03,0.79,21.1111111111111,161,9100.13,8520,403.59,25598.65,1212.57,1558.37,2.68,130.46,486.75,2379.85,24.13,"M_F2_27x113_4-42"
"212","M_F2_27x113_4",87.2033846153846,10.4007807139241,4331.83015384616,1003.34914356945,281.299624615384,43.4044269626312,112.823944615385,16.9890815600604,48.5597907692308,6.83430256833413,2.35313846153846,0.411160699914092,-0.04,0.23,7.66666666666667,65,7699.77,7196,938.56,9059.61,1181.69,550.08,34.08,76.53,371,2475.35,306.74,"M_F2_27x113_4-48"
"213","M_F2_27x113_4",83.5686666666666,15.7314173588729,3937.11157894737,1325.56052443026,262.963894736842,57.7692671023778,103.235305263158,20.2162308042009,47.3117684210526,11.4069115088672,2.26336842105263,0.503777644813199,0.06,0.51,7.11111111111111,57,7812.21,7692,1081.7,9569.72,1345.74,1075.52,7.8,150.22,559.14,2797.93,70.23,"M_F2_27x113_4-51"
"214","M_F2_27x113_4",64.0955,7.50186785999919,3169.19414634146,1230.01323033931,231.606263414634,61.6871066017021,92.8369317073171,27.5433643693438,42.5915121951219,8.32081007547914,2.20760975609756,0.698104873017517,-0.02,0.69,9.77777777777778,82,7133.79,7076,723.67,12081.16,1235.57,609.82,7.54,84.09,509.48,2016.22,67.83,"M_F2_27x113_4-52"
"215","M_F2_27x113_4",61.9229424460431,6.46567185135599,3512.62618705036,1567.0981981104,249.719231654676,70.0352803537845,99.7484892086331,26.4543700469501,43.0376115107914,11.1786072734907,2.38128057553957,0.637460314522379,-0.05,0.83,19.4444444444444,139,6441.7,6021,309.67,20641.38,1061.56,1339.97,1.55,140.67,628.9,2622.93,13.91,"M_F2_27x113_4-56"
"216","M_F2_27x113_4",70.3587847222222,10.5910640736459,3594.78,1553.3968462884,245.213475,62.406297980731,96.6144,25.3479655507711,45.449175,10.3357215523795,2.14424305555556,0.392144672292486,0.03,0.27,17,144,8743,4539,266.99,21115.06,1242.06,531.05,2.86,64.18,389.67,2696.51,25.72,"M_F2_27x113_4-6"
"217","M_F2_27x113_4",74.9080198019802,10.9879750419262,3851.4297029703,1406.86501643497,257.810649504951,56.9678207950073,99.1034198019802,22.4203158835733,48.1646316831683,9.78233295037672,2.08777722772277,0.422055978080008,-0.01,0.57,26.7777777777778,202,8577.39,6078,226.96,33079.64,1235.34,2055.49,6.72,226.22,493.31,2816.21,60.49,"M_F2_27x113_4-7"
"218","M_F2_27x113_4",67.8297019230769,7.57259247738813,2908.14923076923,1252.13909011445,221.589571153846,60.3904994045388,85.8946846153847,23.1438278534118,41.5742365384616,10.2648553023685,2.12154807692308,0.541773984995164,0,0.58,26.7777777777778,208,5683,5135,191.76,32677.93,1220.34,963.72,9.32,107.64,415.86,2526.81,83.9,"M_F2_27x113_4-8"
"219","M_F2_27x113_4",73.4129915966386,16.5491523027799,3342.3731092437,1231.075590383,240.173939495798,60.774006615711,93.260087394958,22.9492893760169,44.5740504201681,8.5416961201486,2.12084033613445,0.457622577506785,0,0.41,14.4444444444444,119,8576.8,8054,557.58,18127.34,1254.97,1326.42,17.69,138.07,535.28,2900.27,159.2,"M_F2_27x113_4-88"
"220","M_F2_27x113_4",85.6194533333333,21.005464806513,4230.144,1728.49147605338,269.3304,70.693733374171,107.263152,29.1388631271271,48.100752,11.0250734677133,2.24809333333333,0.445491868258765,0.02,0.45,9.33333333333333,75,5835.77,5836,625.26,11757.35,1259.72,922.96,19.17,114.6,355.17,1808.81,172.56,"M_F2_27x113_4-9"
"221","M_F2_27x113_4",84.7717701149425,13.8970762724856,2775.2275862069,1406.46056100673,216.673572413793,66.1281525513743,83.0740965517241,21.6237256779067,40.546924137931,11.8575145869512,2.08593103448276,0.41309787660259,-0.03,0.42,10.7777777777778,87,8676.77,8500,788.66,14296.16,1326.45,717.27,43.85,80.04,376.46,2316.95,394.69,"M_F2_27x113_4-99"
"222","M_F2_27x113_5",68.6730804597701,20.7720141106524,2684.06068965517,1823.05329148073,211.897117241379,83.3138830393868,83.885275862069,30.7237484571317,37.0922896551724,13.2633678834002,2.34213793103448,0.678044956860545,0.04,0.9,26.1111111111111,174,5440.17,2474,94.74,38079.38,1458.36,2301.79,6.73,213.53,562.62,2713.87,60.59,"M_F2_27x113_5-1"
